Stress Level,0,25,50,75,95
Cars Only,1.53E-12,1.43E-13,0.007,0.00217,0.029724961
Cars + Collision,0.0136,0.013568011,0.013568011,0.159231258,0.313163764
Cars + People,1.46E-12,1.43E-13,1.43E-13,0.000522,0.067444136
Test_CarsPeopleCollision,0.43,0.421,0.314,0.275,1.9794
People Only,5.62E-13,5.71E-14,5.71E-14,5.71E-14,5.71E-14
Test_PeopleCollision_L4,5.58E-13,6.07E-14,6.07E-14,6.07E-14,6.07E-14
Test_PeopleCollision_L20,5.62E-13,6.07E-14,6.07E-14,6.07E-14,6.07E-14
Test_PeopleCollision_L200,5.65E-13,6.07E-14,6.07E-14,6.07E-14,6.07E-14
