Cars Collsion,,,,,
Stress,0,25,50,75,95
Average Pre Collsion Deviation /m,0.0000017687,0.0000017767,0.0000017767,0.0051,0.015
Average Post Collsion Deviation /m,0.0038,0.0037,0.0037,0.0912,0.1885
