Stress Level,0,25,50,75,95
Cars Only,3.76E-13,4.23E-14,0.0033,9.04E-04,0.0119
Cars + Collision,3.70E-03,0.0036,0.0036,0.4447,0.9165
Cars + People,9.73E-06,3.63E-14,3.63E-14,8.23E-05,0.0152
People Only,1.44E-13,1.71E-14,1.71E-14,1.71E-14,1.71E-14
Test_PeopleCollision_L4,1.89E-13,2.38E-14,2.38E-14,2.38E-14,2.38E-14
Test_PeopleCollision_L20,1.89E-13,2.38E-14,2.38E-14,2.38E-14,2.38E-14
Test_PeopleCollision_L200,2.06E-13,2.38E-14,2.38E-14,2.38E-14,2.38E-14
Test_CarsPeopleCollision,2.80E-01,2.80E-01,2.80E-01,2.80E-01,2.80E-01
